Cell Number,Average Cell Weight (g),Standard Deviation (g)
74.0,46.37187013288214,0.004883417830071341
75.0,46.92415518867972,0.00794977013228505
76.0,46.88297885551051,0.005136686370577131
77.0,46.69055581737479,0.005928911610356353
78.0,46.89654095046321,0.0051878121789829335
79.0,46.81215908917104,0.00626639499569801
80.0,46.79858658903034,0.006958768574189369
81.0,46.9614608892547,0.004810971667506318
82.0,47.083134722481596,0.0058144412959205555
83.0,46.90297211903559,0.0062506996921374985
84.0,46.70915815807746,0.007122710406630201
85.0,46.80655796517673,0.006190072144093512
86.0,47.11078320841588,0.006498926445888799
87.0,46.99400468582678,0.11801390374989004
88.0,46.7993784063335,0.005969809054819175
89.0,47.081518632518076,0.007594744252559729
90.0,46.8745858359524,0.006012170018669603
91.0,46.87959573979661,0.008212590789709772
92.0,46.80713178599344,0.005082884313336112
93.0,46.90512552008432,0.0067744486141223135
94.0,46.9687765278276,0.00675720301415596
95.0,46.647093201093774,0.014483368451923367
96.0,46.546173733303725,0.004779804550015619
97.0,46.78193518528463,0.006309839248679648
98.0,47.05080665069104,0.006212463425816471
99.0,46.57522942316086,0.005973408795353303
100.0,47.0300278313099,0.004165289836846496
101.0,19.99932495272692,0.0007758355989237765
102.0,46.983661272504285,0.007254420939075469
103.0,47.030771051359466,0.005868561018868024
104.0,46.83372706082857,0.006333320190433632
105.0,46.94408185843447,0.007356816412517064
106.0,46.88903747722634,0.0051768636090519845
107.0,46.76258730247188,0.00600742479036631
108.0,47.097064044576676,0.012812639254623191
109.0,46.87685063757057,0.009689468545899575
110.0,46.85069335001967,0.008438100948593659
111.0,46.7306977848769,0.010106912927273923
112.0,46.64323632320848,0.007724835916501296
113.0,46.52976940725921,0.006554246211443766
114.0,46.95633668661774,0.006574169531458722
115.0,46.73902862346302,0.007644521467420788
116.0,46.99771520777474,0.008053905034605017
117.0,46.561695276320364,0.006576268671567647
118.0,46.70708537419963,0.005544652182643558
119.0,46.57129186518394,0.006131250366728417
120.0,46.92227695167393,0.007002604574018094
121.0,46.803893703830155,0.03650970723246907
122.0,46.97191744323482,0.007729716748593158
123.0,47.03611173919343,0.0063001995303072714
124.0,46.89306962919926,0.007086012745633609
125.0,46.91927727512943,0.006819279652116155
126.0,46.8877782221151,0.00805393051808896
127.0,46.746136986604796,0.0074161387888934446
128.0,0.0065630767951533,0.0001524975651799892
129.0,46.696100680564335,0.004364118554082593
130.0,46.834773940172454,0.20026893799243775
131.0,46.62587259714628,0.006354375131529209
132.0,46.974825332459844,0.005393861552753981
133.0,46.96491452655973,0.005944150008805266
134.0,46.8528873901304,0.009596744109697065
135.0,46.57258781320297,0.005909762515050218
136.0,47.05680152910787,0.008795165273434649
137.0,46.96823638442857,0.009754942089556563
138.0,46.46473146056094,0.006699205934103831
139.0,46.75216989027744,0.007265992128164569
140.0,46.910152276592065,0.008428595371697023
141.0,46.89180828815659,0.007397300914426821
142.0,46.75292549051456,0.005681139366248678
143.0,46.97574597195722,0.007569877791620508
144.0,46.794632550835395,0.0674113343850218
145.0,46.970243301256595,0.009197931259273253
146.0,46.83890835249674,0.005466563702593935
147.0,46.808251152831204,0.054172645983222426
148.0,47.003634779576565,0.008640756020769814
149.0,46.84415702783248,0.007135966562849375
150.0,46.72673167412323,0.007099809135637059
151.0,46.86280180812272,0.007012743014366705
152.0,0.005490439555627638,0.00014204296358779077
153.0,46.93352831138377,0.005976637068506248
154.0,46.90720811970976,0.004500466593232908
155.0,46.72744393089405,0.008077347920148227
156.0,46.95831020383457,0.005686573035606444
157.0,47.05466010710575,0.008373158184098584
158.0,46.894743792992486,0.006093137123609052
159.0,46.515840246898534,0.006040503757898628
160.0,46.6774332126839,0.008679034264847865
161.0,46.88732519260979,0.005916663884393182
162.0,46.82946697960022,0.006657772881998473
163.0,47.001785571388815,0.013266730967564262
164.0,46.97028028892416,0.00782168917461538
165.0,46.66427827142608,0.02562288035002202
166.0,46.93164894063692,0.011325205949280891
167.0,47.0067368267557,0.007975072669655067
168.0,47.02103639095936,0.007998792050153051
169.0,46.63104333214585,0.008932617864268277
170.0,47.07227248802445,0.006013898606593166
171.0,46.79574151798306,0.006212676582578751
172.0,46.93837938472159,0.009059781875519412
173.0,47.025750117715766,0.007707939392128785
174.0,46.73593890132725,0.00572929948072354
175.0,47.011092942301524,0.006257195578375603
176.0,46.997745728927285,0.4370531422561128
177.0,47.02185578678278,0.0055147375664180605
178.0,46.90662707280716,0.007274833827267389
179.0,46.77007920859804,0.005924174305799013
180.0,46.92173920135343,0.00803025476788123
181.0,47.09480275056749,0.00525646957314721
182.0,46.82977353699596,0.007511969286198084
183.0,46.87508913988399,0.11512592117304475
184.0,47.07136261192666,0.007162789748706849
185.0,46.669270859664,0.004830795192344672
186.0,46.845162332691594,0.005116904226007257
187.0,46.87007498916041,0.005827108672594824
188.0,46.908678137107735,0.006443124325651547
189.0,47.10469201849446,0.007145790254516897
190.0,46.919431861853745,0.008246480287215556
191.0,46.623912277343166,0.0071164396208743715
192.0,47.025836674823125,0.00851942043155486
193.0,46.67732573342612,0.006947222697480339
194.0,46.94646374112781,0.004566514838258647
