,Latitude,Longitude,Elevation
428,38.92178,-95.67697,326.0
429,38.92189,-95.67699,327.0
430,38.92199,-95.67701,327.0
431,38.922,-95.67701,327.0
432,38.92201,-95.67701,327.0
433,38.92206,-95.67701,327.0
434,38.92207,-95.67701,327.0
435,38.92208,-95.67701,327.0
436,38.92209,-95.677,327.0
437,38.92212,-95.677,327.0
438,38.92212,-95.67699,327.0
439,38.92213,-95.67699,327.0
440,38.92218,-95.67696,327.0
441,38.92218,-95.67695,327.0
442,38.92219,-95.67694,327.0
443,38.92221,-95.67691,327.0
444,38.92222,-95.6769,327.0
445,38.92222,-95.67689,327.0
446,38.92224,-95.67682,326.0
447,38.92224,-95.67681,326.0
448,38.92224,-95.67679,326.0
449,38.92227,-95.67655,324.0
450,38.92229,-95.67623,323.0
451,38.9223,-95.67611,323.0
452,38.9223,-95.6761,323.0
453,38.92231,-95.67608,323.0
454,38.92232,-95.67606,323.0
455,38.92233,-95.67601,323.0
456,38.92234,-95.67599,323.0
457,38.92235,-95.67596,323.0
458,38.92236,-95.67594,323.0
459,38.92238,-95.67588,323.0
460,38.92239,-95.67586,323.0
461,38.92239,-95.67585,323.0
462,38.9224,-95.67584,323.0
463,38.92245,-95.6758,323.0
464,38.92247,-95.67578,323.0
465,38.92248,-95.67577,323.0
466,38.92249,-95.67576,323.0
467,38.9225,-95.67576,323.0
468,38.92252,-95.67575,323.0
469,38.92261,-95.67572,324.0
470,38.92262,-95.67572,324.0
471,38.92263,-95.67572,324.0
472,38.92264,-95.67572,324.0
473,38.92277,-95.67572,325.0
474,38.9228,-95.67572,326.0
475,38.92299,-95.67571,327.0
476,38.92315,-95.6757,327.0
477,38.92319,-95.67569,328.0
478,38.92339,-95.67567,329.0
479,38.92347,-95.67566,329.0
480,38.92352,-95.67566,329.0
481,38.92375,-95.67566,330.0
482,38.92377,-95.67566,330.0
483,38.92378,-95.67566,330.0
484,38.9238,-95.67566,330.0
485,38.92391,-95.67569,330.0
486,38.924,-95.67572,331.0
487,38.92402,-95.67573,331.0
488,38.92416,-95.67577,331.0
489,38.92435,-95.67586,332.0
490,38.92452,-95.67594,332.0
491,38.92464,-95.676,332.0
492,38.92479,-95.67607,332.0
493,38.92499,-95.67616,331.0
494,38.92513,-95.67623,331.0
495,38.92547,-95.67639,329.0
496,38.92577,-95.67653,329.0
497,38.92585,-95.67656,330.0
498,38.92591,-95.67658,330.0
499,38.92593,-95.67659,330.0
500,38.92595,-95.67659,330.0
501,38.92621,-95.67665,330.0
502,38.9264,-95.67668,330.0
503,38.92659,-95.67672,329.0
504,38.92671,-95.67674,328.0
505,38.92697,-95.67679,328.0
506,38.9272,-95.67683,329.0
507,38.92794,-95.67697,331.0
508,38.92811,-95.677,331.0
509,38.92818,-95.67701,331.0
510,38.92839,-95.67705,331.0
511,38.9286,-95.67709,331.0
512,38.92873,-95.67711,330.0
513,38.92887,-95.67714,330.0
514,38.92913,-95.67719,330.0
515,38.92928,-95.67722,330.0
