,Latitude,Longitude,Elevation
239,38.9205761,-95.6706859,333
240,38.920507,-95.6707191,333
241,38.9204992,-95.6707237,333
242,38.9204877,-95.6707348,333
243,38.920476,-95.6707469,332
244,38.9203466,-95.6708776,330
245,38.9202806,-95.6709491,329
246,38.9202738,-95.6709615,328
247,38.9202662,-95.6709772,328
248,38.9202292,-95.671057,329
249,38.9202198,-95.6710751,329
250,38.9201629,-95.671223,329
251,38.9200164,-95.6716023,329
252,38.9199116,-95.6718692,329
253,38.9198158,-95.672119,328
254,38.9197217,-95.672359,328
255,38.9196638,-95.6725139,328
256,38.9196567,-95.6725307,328
257,38.9196541,-95.6725374,328
258,38.9196518,-95.6726152,328
259,38.919652,-95.6726035,328
260,38.9196525,-95.6726263,328
261,38.9196546,-95.6726383,328
262,38.9196583,-95.6726491,327
263,38.9196765,-95.6727289,327
264,38.9196786,-95.6727352,327
265,38.9196836,-95.6727433,327
266,38.9197,-95.6727694,327
267,38.9197144,-95.6727926,326
268,38.919724,-95.672808,326
269,38.9197308,-95.672818,326
270,38.9197376,-95.6728231,326
271,38.919741,-95.6728247,325
272,38.9197984,-95.6728583,326
273,38.9198067,-95.672863,326
274,38.919813,-95.672866,326
275,38.9198198,-95.6728663,326
276,38.9198409,-95.6728673,326
277,38.9199194,-95.6728693,328
278,38.9199335,-95.6728693,329
279,38.9199523,-95.6728673,329
280,38.9200616,-95.6728566,329
281,38.9202189,-95.6728432,329
282,38.9203409,-95.6728331,329
283,38.9204899,-95.6728217,329
284,38.9207093,-95.6728029,329
285,38.9209534,-95.6727828,330
286,38.9213126,-95.6727527,330
287,38.9214211,-95.6727433,330
288,38.9214289,-95.6727426,330
289,38.9214365,-95.6727436,330
290,38.9214649,-95.6727443,330
291,38.9215163,-95.6727446,330
292,38.9215278,-95.6727456,330
293,38.9215406,-95.6727476,330
294,38.9215578,-95.672751,331
295,38.9215844,-95.6727533,331
296,38.9216092,-95.672755,331
297,38.9216196,-95.6727574,331
298,38.9216327,-95.6727627,331
299,38.9216465,-95.6727681,331
300,38.921678,-95.6727781,331
301,38.9216874,-95.6727805,332
302,38.921695,-95.6727835,332
303,38.921707,-95.6727902,332
304,38.9217164,-95.6727966,332
305,38.9217451,-95.6728123,332
306,38.921754,-95.672817,332
307,38.92176,-95.6728251,332
308,38.9217894,-95.6728603,332
309,38.9218077,-95.6728804,332
