"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"MMSZ5226BS-7-F","Diodes Incorporated","MMSZ5226BS-FDICT-ND","","","Cut Tape (CT)","Active","3","0.39000","$1.17","2086","17 Weeks","DIODE ZENER 3.3V 200MW SOD323","ROHS3 Compliant","Lead free","REACH Unaffected"
"PDS760Q-13","Diodes Incorporated","PDS760Q-13DITR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","20699","18 Weeks","DIODE SCHOTTKY 60V 7A POWERDI5","ROHS3 Compliant","Contains lead","REACH Affected"
"RCU-0C","TE Connectivity AMP Connectors","A106145CT-ND","","","Cut Tape (CT)","Active","2","0.33000","$0.66","201323","27 Weeks","PC TEST POINT NATURAL","RoHS Compliant","Lead free","Not Available"
"6PCV-02-006","TE Connectivity AMP Connectors","A98481-ND","","","Bulk","Active","1","2.28000","$2.28","13039","25 Weeks","CONN BARRIER STRIP 2CIRC 0.375""","RoHS Compliant","Lead free","Not Available"
"0436500215","Molex","WM1917-ND","","","Tray","Active","4","0.87000","$3.48","56015","5 Weeks","CONN HEADER VERT 2POS 3MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"0430450613","Molex","WM2650-ND","","","Tray","Active","1","2.46000","$2.46","6284","6 Weeks","CONN HEADER VERT 6POS 3MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"SI7997DP-T1-GE3","Vishay Siliconix","SI7997DP-T1-GE3TR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","23747","19 Weeks","MOSFET 2P-CH 30V 60A PPAK SO-8","ROHS3 Compliant","Lead free","Not Available"
"RC0603JR-071KL","Yageo","311-1.0KGRCT-ND","","","Cut Tape (CT)","Active","15","0.02800","$0.42","6177075","20 Weeks","RES SMD 1K OHM 5% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-07100RL","Yageo","311-100HRCT-ND","","","Cut Tape (CT)","Active","11","0.03400","$0.37","3664715","20 Weeks","RES SMD 100 OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-0729K4L","Yageo","311-29.4KHRCT-ND","","","Cut Tape (CT)","Active","6","0.15000","$0.90","385949","20 Weeks","RES SMD 29.4K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RT0603FRE0747RL","Yageo","13-RT0603FRE0747RLCT-ND","","","Cut Tape (CT)","Active","3","0.15000","$0.45","9704","20 Weeks","RES SMD 47 OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-3RBD1211V","","","","","","","","","","","","","","",""
"CRCW060322R1FKEA","Vishay Dale","541-22.1HCT-ND","","","Cut Tape (CT)","Active","3","0.15000","$0.45","34744","52 Weeks","RES SMD 22.1 OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","Not Available"
"CR0603-FX-1502ELF","Bourns Inc.","CR0603-FX-1502ELFCT-ND","","","Cut Tape (CT)","Active","2","0.15000","$0.30","129913","14 Weeks","RES SMD 15K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
